Movie Titles,Year of Release,Genres,Imdb Rating,Streaming Services,URLs
12th Fail,2023,Drama,9.2,Bookmyshow,https://www.justwatch.com/in/movie/12th-fail
Oppenheimer,2023,"Drama, History",8.4,Apple TV,https://www.justwatch.com/in/movie/oppenheimer
Leo,2023,"Mystery & Thriller, Crime, Drama, Action & Adventure",7.3,Netflix,https://www.justwatch.com/in/movie/leo-2023
Tiger 3,2023,"Mystery & Thriller, Action & Adventure",7.0,Not Available for Streaming,https://www.justwatch.com/in/movie/tiger-3
Jawan,2023,"Mystery & Thriller, Action & Adventure",7.0,Netflix,https://www.justwatch.com/in/movie/jawan
Jigarthanda Double X,2023,"Action & Adventure, Comedy, Drama",8.1,Netflix,https://www.justwatch.com/in/movie/jigarthanda-doublex
Mission Raniganj,2023,"Action & Adventure, Drama, History, Mystery & Thriller",7.3,Netflix,https://www.justwatch.com/in/movie/the-great-indian-rescue
The Kerala Story,2023,Drama,7.2,Not Available for Streaming,https://www.justwatch.com/in/movie/the-kerala-story
Killers of the Flower Moon,2023,"Drama, Romance, Western, Crime, History",7.8,Apple TV,https://www.justwatch.com/in/movie/killers-of-the-flower-moon
Ghoomer,2023,"Drama, Sport",7.8,Zee5,https://www.justwatch.com/in/movie/ghoomer
Mission: Impossible - Dead Reckoning Part One,2023,"Action & Adventure, Mystery & Thriller",7.8,Apple TV,https://www.justwatch.com/in/movie/mission-impossible-7
Chithha,2023,"Drama, Mystery & Thriller",8.3,Hotstar,https://www.justwatch.com/in/movie/chittha
Sam Bahadur,2023,"Drama, War & Military, History",8.2,Bookmyshow,https://www.justwatch.com/in/movie/sam-bahadur
Kannur Squad,2023,"Crime, Drama, Mystery & Thriller, Action & Adventure",7.8,Hotstar,https://www.justwatch.com/in/movie/kannur-squad
Garudan,2023,"Mystery & Thriller, Drama, Crime",7.4,Amazon Prime Video,https://www.justwatch.com/in/movie/garudan-2023
800,2023,"Sport, Drama",7.8,Amazon Prime Video,https://www.justwatch.com/in/movie/800
Godzilla Minus One,2023,"Action & Adventure, Science-Fiction, Horror, Drama",8.4,Not Available for Streaming,https://www.justwatch.com/in/movie/godzilla-minus-one
Toby,2023,"Action & Adventure, Mystery & Thriller, Drama, Crime",7.8,Sony Liv,https://www.justwatch.com/in/movie/toby
Past Lives,2023,"Drama, Romance",8.0,Lionsgate Play,https://www.justwatch.com/in/movie/past-lives
OMG 2,2023,"Comedy, Drama",7.6,Netflix,https://www.justwatch.com/in/movie/omg-2
K.G.F: Chapter 2,2022,"Crime, Drama, Mystery & Thriller, Action & Adventure",8.3,Amazon Prime Video,https://www.justwatch.com/in/movie/k-g-f-chapter-2
Dunki,2023,"Comedy, Drama",8.0,Bookmyshow,https://www.justwatch.com/in/movie/dunki
Jailer,2023,"Action & Adventure, Mystery & Thriller, Comedy, Crime",7.1,Amazon Prime Video,https://www.justwatch.com/in/movie/jailer
