,Movie Titles,Year of Release,Genres,Imdb Rating,Streaming Services,URLs
0,Animal,2023,"Action & Adventure, Drama, Mystery & Thriller, Crime",6.9,Not Available for Streaming,https://www.justwatch.com/in/movie/animal-2022
1,12th Fail,2023,Drama,9.2,Not Available for Streaming,https://www.justwatch.com/in/movie/12th-fail
2,Oppenheimer,2023,"Drama, History",8.4,Apple TV,https://www.justwatch.com/in/movie/oppenheimer
3,Leo,2023,"Mystery & Thriller, Crime, Drama, Action & Adventure",7.3,Netflix,https://www.justwatch.com/in/movie/leo-2023
4,Tiger 3,2023,"Mystery & Thriller, Action & Adventure",7.0,Not Available for Streaming,https://www.justwatch.com/in/movie/tiger-3
5,Jawan,2023,"Mystery & Thriller, Action & Adventure",7.0,Netflix,https://www.justwatch.com/in/movie/jawan
6,Jigarthanda Double X,2023,"Action & Adventure, Comedy, Drama",8.1,Netflix,https://www.justwatch.com/in/movie/jigarthanda-doublex
7,Mission Raniganj,2023,"Drama, History, Mystery & Thriller, Action & Adventure",7.3,Netflix,https://www.justwatch.com/in/movie/the-great-indian-rescue
8,Salaar,2023,"Action & Adventure, Drama, Mystery & Thriller",6.8,Not Available for Streaming,https://www.justwatch.com/in/movie/salaar
9,The Kerala Story,2023,Drama,7.2,Not Available for Streaming,https://www.justwatch.com/in/movie/the-kerala-story
10,Leave the World Behind,2023,"Science-Fiction, Drama, Mystery & Thriller",6.5,Netflix,https://www.justwatch.com/in/movie/leave-the-world-behind-2023
11,Fukrey 3,2023,"Comedy, Drama, Crime, Mystery & Thriller",6.3,Amazon Prime Video,https://www.justwatch.com/in/movie/fukrey-3
12,Killers of the Flower Moon,2023,"Crime, Drama, History, Romance, Western",7.8,Apple TV,https://www.justwatch.com/in/movie/killers-of-the-flower-moon
13,Bhagavanth Kesari,2023,"Drama, Mystery & Thriller, Action & Adventure",6.3,Amazon Prime Video,https://www.justwatch.com/in/movie/nbk-108
14,The Equalizer 3,2023,"Crime, Action & Adventure, Mystery & Thriller",6.8,Apple TV,https://www.justwatch.com/in/movie/the-equalizer-3
15,Indiana Jones and the Dial of Destiny,2023,"Action & Adventure, Science-Fiction",6.6,Apple TV,https://www.justwatch.com/in/movie/indiana-jones-5
16,Ghoomer,2023,"Drama, Sport",7.8,Zee5,https://www.justwatch.com/in/movie/ghoomer
17,Zara Hatke Zara Bachke,2023,"Drama, Romance, Comedy, Kids & Family",6.5,Not Available for Streaming,https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke
18,Mission: Impossible - Dead Reckoning Part One,2023,"Action & Adventure, Mystery & Thriller",7.8,Apple TV,https://www.justwatch.com/in/movie/mission-impossible-7
19,Chithha,2023,"Mystery & Thriller, Drama",8.3,Hotstar,https://www.justwatch.com/in/movie/chittha
20,Japan,2023,"Drama, Comedy, Crime, Mystery & Thriller, Action & Adventure",3.1,Netflix,https://www.justwatch.com/in/movie/japan
21,Sam Bahadur,2024,"Drama, War & Military, History",8.1,Not Available for Streaming,https://www.justwatch.com/in/movie/sam-bahadur
22,The Creator,2023,"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",6.8,Apple TV,https://www.justwatch.com/in/movie/the-creator
23,Gadar 2,2023,"Action & Adventure, Drama, Mystery & Thriller",5.2,Zee5,https://www.justwatch.com/in/movie/gadar-2
24,Kannur Squad,2023,"Crime, Drama, Mystery & Thriller, Action & Adventure",7.8,Hotstar,https://www.justwatch.com/in/movie/kannur-squad
25,Barbie,2023,"Comedy, Fantasy",6.9,Apple TV,https://www.justwatch.com/in/movie/barbie-2023
26,The Archies,2023,"Music & Musical, Romance, Comedy, Drama",5.3,Netflix,https://www.justwatch.com/in/movie/the-archies
27,Tiger Nageswara Rao,2023,"Drama, Mystery & Thriller, Action & Adventure, Crime",6.2,Amazon Prime Video,https://www.justwatch.com/in/movie/tiger-nageswara-rao
28,Fast X,2023,"Mystery & Thriller, Action & Adventure, Crime",5.8,Apple TV,https://www.justwatch.com/in/movie/fast-x
29,Garudan,2023,"Mystery & Thriller, Drama, Crime",7.4,Amazon Prime Video,https://www.justwatch.com/in/movie/garudan-2023
30,Harry Potter and the Philosopher's Stone,2001,"Action & Adventure, Fantasy, Kids & Family",7.6,Apple TV,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
31,800,2023,"Sport, Drama",7.8,Amazon Prime Video,https://www.justwatch.com/in/movie/800
32,Godzilla Minus One,2023,"Science-Fiction, Horror, Action & Adventure, Drama",8.4,Not Available for Streaming,https://www.justwatch.com/in/movie/godzilla-minus-one
33,Rebel Moon: Part One - A Child of Fire,2023,"Drama, Fantasy, Science-Fiction, Action & Adventure",5.7,Netflix,https://www.justwatch.com/in/movie/rebel-moon
34,Aquaman,2018,"Action & Adventure, Fantasy, Science-Fiction",6.8,Apple TV,https://www.justwatch.com/in/movie/aquaman
35,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Kids & Family, Romance",6.7,Amazon Prime Video,https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani
36,Toby,2023,"Action & Adventure, Mystery & Thriller, Drama, Crime",7.7,Sony Liv,https://www.justwatch.com/in/movie/toby
37,Past Lives,2023,"Drama, Romance",8.0,Lionsgate Play,https://www.justwatch.com/in/movie/past-lives
38,Hypnotic,2023,"Mystery & Thriller, Action & Adventure, Science-Fiction",5.5,Amazon Prime Video,https://www.justwatch.com/in/movie/hypnotic-2023
39,OMG 2,2023,"Comedy, Drama",7.6,Netflix,https://www.justwatch.com/in/movie/omg-2
40,Mast Mein Rehne Ka,2023,Drama,0.0,Amazon Prime Video,https://www.justwatch.com/in/movie/mast-mein-rehne-ka
41,Pathaan,2023,"Mystery & Thriller, Action & Adventure",5.9,Apple TV,https://www.justwatch.com/in/movie/pathaan
42,365 Days,2020,"Drama, Romance, Made in Europe",3.3,Netflix,https://www.justwatch.com/in/movie/365-days
43,The Family Plan,2023,"Action & Adventure, Comedy",6.3,Apple TV Plus,https://www.justwatch.com/in/movie/the-family-plan
44,Thank You for Coming,2023,"Comedy, Drama",4.8,Netflix,https://www.justwatch.com/in/movie/thank-you-for-coming
45,K.G.F: Chapter 2,2022,"Drama, Mystery & Thriller, Action & Adventure, Crime",8.3,Amazon Prime Video,https://www.justwatch.com/in/movie/k-g-f-chapter-2
